"옵션 관리코드","옵션별상품코드","모델명","주문상품명","상품옵션","주문품목 단가","주문품목 수량","주문품목 결제금액","부가세여부","주문번호","주문상태(품목별)"
"","M1242225-00000000004","CDCBBFJC31","CDCBBFJC31 첨이첨이 CFC 여아 모달 브리프 01스판 여아동 삼각 팬티 세트 3매입","사이즈 : 31/75(11~12세)","9500","1","9500","부가세","20200605082434-34418368178","배송완료"
"","M1242722-00000000002","CBCBCFFF16","CBCBCFFF16 첨이첨이 CFC 여주 브라 105 면스판 여주니어 홑겹 패드 탑브라","사이즈 : 80","8100","1","8100","부가세","20200605082434-34418368178","배송완료"
"","M1242722-00000000003","CBCBCFFF16","CBCBCFFF16 첨이첨이 CFC 여주 브라 105 면스판 여주니어 홑겹 패드 탑브라","사이즈 : 85","8100","1","8100","부가세","20200605082434-34418368178","배송완료"
"","M1242765-00000000003","BPR7339","BPR7339 BYC 쁘띠걸 스판 여 삼각 49호 주니어 미디 팬티 3매입 세트","사이즈 : 95","8854","1","8854","부가세","20200605082434-34418368178","배송완료"
"","M1243030-00000000001","PMR440-5","PMR440-5 폴밋 순면 남성 민소매 니트 런닝 3매입 세트","사이즈 : 95","11230","1","11230","부가세","20200605082434-34418368178","배송완료"
"","M1243276-00000000002","CBDABFAC09","첨이첨이 DSC 여아 런닝 05 순면 듀퐁 여아동 민소매 나시","모델명 : CBDABFAC09, 사이즈 : 09/65(7~8세)","3750","1","3750","부가세","20200605082434-34418368178","배송완료"
"","M1243437-00000000004","PMR447","PMR447 폴밋 시그널 텐셀 런닝 남자 민소매 나시 3매입 세트","사이즈 : 110(+1390)","14430","1","15820","부가세","20200605082434-34418368178","배송완료"
"","M1243594-00000000003","JHWVV022","JHWVV022 제임스딘 이너핏 인견 타미 보정 파워넷 자카드 여자 몰드 노와이어 B컵 치마올인원 바디쉐이퍼","사이즈 : 85B, 색상 : BE(베이지색)","31370","1","31370","부가세","20200605082434-34418368178","배송완료"
"","M1243665-00000000003","CBDABMAC19","첨이첨이 DSC 남아 런닝 10 에어로쿨 폴리스판 남아동 민소매 나시","모델명 : CBDABMAC19, 사이즈 : 19/70(9~10세)","4250","2","8500","부가세","20200605082434-34418368178","배송완료"
"","M1243732-00000000009","JHMRV011","JHMRV011 제임스딘 순면 후라이스 골지 남자 민소매 나시 런닝","색상 : WH(백색), 사이즈 : 100","4320","3","12960","부가세","20200605082434-34418368178","배송완료"
"","M1243766-00000000002","CFDABMAC32","첨이첨이 에어라인 남 런닝 에어로쿨 폴리스판 남아동 민소매 나시","모델명 : CFDABMAC32, 사이즈 : 65(7~8세)","4000","2","8000","부가세","20200605082434-34418368178","배송완료"
"","M1243766-00000000004","CFDABMAC32","첨이첨이 에어라인 남 런닝 에어로쿨 폴리스판 남아동 민소매 나시","모델명 : CFDABMAC32, 사이즈 : 75(11~12세)","4000","3","12000","부가세","20200605082434-34418368178","배송완료"
"","M1243766-00000000003","CFDABMAC32","첨이첨이 에어라인 남 런닝 에어로쿨 폴리스판 남아동 민소매 나시","모델명 : CFDABMAC32, 사이즈 : 70(9~10세)","4000","1","4000","부가세","20200605082434-34418368178","배송완료"
